matrix-tech-tws
                     AmazonEC2FullAccess    iam:CreateServiceLinkedRole
                     AmazonEC2FullAccess    iam:CreateServiceLinkedRole
                     AmazonEC2FullAccess    iam:CreateServiceLinkedRole

                AWSIoTThingsRegistration       iot:AddThingToThingGroup
                AWSIoTThingsRegistration      iot:AttachPrincipalPolicy
                AWSIoTThingsRegistration       iot:AttachThingPrincipal
                AWSIoTThingsRegistration   iot:CreateCertificateFromCsr
                AWSIoTThingsRegistration               iot:CreatePolicy
                AWSIoTThingsRegistration                iot:CreateThing
                AWSIoTThingsRegistration        iot:DescribeCertificate
                AWSIoTThingsRegistration              iot:DescribeThing
                AWSIoTThingsRegistration         iot:DescribeThingGroup
                AWSIoTThingsRegistration          iot:DescribeThingType
                AWSIoTThingsRegistration       iot:DetachThingPrincipal
                AWSIoTThingsRegistration                  iot:GetPolicy
                AWSIoTThingsRegistration       iot:ListPolicyPrincipals
                AWSIoTThingsRegistration      iot:ListPrincipalPolicies
                AWSIoTThingsRegistration        iot:ListPrincipalThings
                AWSIoTThingsRegistration    iot:ListThingGroupsForThing
                AWSIoTThingsRegistration        iot:ListThingPrincipals
                AWSIoTThingsRegistration        iot:RegisterCertificate
                AWSIoTThingsRegistration              iot:RegisterThing
                AWSIoTThingsRegistration  iot:RemoveThingFromThingGroup
                AWSIoTThingsRegistration          iot:UpdateCertificate
                AWSIoTThingsRegistration                iot:UpdateThing
                AWSIoTThingsRegistration  iot:UpdateThingGroupsForThing

       AWSElasticBeanstalkReadOnlyAccess        elasticbeanstalk:Check*
       AWSElasticBeanstalkReadOnlyAccess     elasticbeanstalk:Describe*
       AWSElasticBeanstalkReadOnlyAccess         elasticbeanstalk:List*
       AWSElasticBeanstalkReadOnlyAccess elasticbeanstalk:RequestEnvironmentInfo
       AWSElasticBeanstalkReadOnlyAccess elasticbeanstalk:RetrieveEnvironmentInfo
       AWSElasticBeanstalkReadOnlyAccess                  ec2:Describe*
       AWSElasticBeanstalkReadOnlyAccess elasticloadbalancing:Describe*
       AWSElasticBeanstalkReadOnlyAccess          autoscaling:Describe*
       AWSElasticBeanstalkReadOnlyAccess           cloudwatch:Describe*
       AWSElasticBeanstalkReadOnlyAccess               cloudwatch:List*
       AWSElasticBeanstalkReadOnlyAccess                cloudwatch:Get*
       AWSElasticBeanstalkReadOnlyAccess                        s3:Get*
       AWSElasticBeanstalkReadOnlyAccess                       s3:List*
       AWSElasticBeanstalkReadOnlyAccess                       sns:Get*
       AWSElasticBeanstalkReadOnlyAccess                      sns:List*
       AWSElasticBeanstalkReadOnlyAccess       cloudformation:Describe*
       AWSElasticBeanstalkReadOnlyAccess            cloudformation:Get*
       AWSElasticBeanstalkReadOnlyAccess           cloudformation:List*
       AWSElasticBeanstalkReadOnlyAccess       cloudformation:Validate*
       AWSElasticBeanstalkReadOnlyAccess       cloudformation:Estimate*
       AWSElasticBeanstalkReadOnlyAccess                  rds:Describe*
       AWSElasticBeanstalkReadOnlyAccess                       sqs:Get*
       AWSElasticBeanstalkReadOnlyAccess                      sqs:List*


               AWSQuicksightAthenaAccess  athena:BatchGetQueryExecution
               AWSQuicksightAthenaAccess    athena:CancelQueryExecution
               AWSQuicksightAthenaAccess             athena:GetCatalogs
               AWSQuicksightAthenaAccess      athena:GetExecutionEngine
               AWSQuicksightAthenaAccess     athena:GetExecutionEngines
               AWSQuicksightAthenaAccess            athena:GetNamespace
               AWSQuicksightAthenaAccess           athena:GetNamespaces
               AWSQuicksightAthenaAccess       athena:GetQueryExecution
               AWSQuicksightAthenaAccess      athena:GetQueryExecutions
               AWSQuicksightAthenaAccess         athena:GetQueryResults
               AWSQuicksightAthenaAccess                athena:GetTable
               AWSQuicksightAthenaAccess               athena:GetTables
               AWSQuicksightAthenaAccess     athena:ListQueryExecutions
               AWSQuicksightAthenaAccess                athena:RunQuery
               AWSQuicksightAthenaAccess     athena:StartQueryExecution
               AWSQuicksightAthenaAccess      athena:StopQueryExecution
               AWSQuicksightAthenaAccess            glue:CreateDatabase
               AWSQuicksightAthenaAccess            glue:DeleteDatabase
               AWSQuicksightAthenaAccess               glue:GetDatabase
               AWSQuicksightAthenaAccess              glue:GetDatabases
               AWSQuicksightAthenaAccess            glue:UpdateDatabase
               AWSQuicksightAthenaAccess               glue:CreateTable
               AWSQuicksightAthenaAccess               glue:DeleteTable
               AWSQuicksightAthenaAccess          glue:BatchDeleteTable
               AWSQuicksightAthenaAccess               glue:UpdateTable
               AWSQuicksightAthenaAccess                  glue:GetTable
               AWSQuicksightAthenaAccess                 glue:GetTables
               AWSQuicksightAthenaAccess      glue:BatchCreatePartition
               AWSQuicksightAthenaAccess           glue:CreatePartition
               AWSQuicksightAthenaAccess           glue:DeletePartition
               AWSQuicksightAthenaAccess      glue:BatchDeletePartition
               AWSQuicksightAthenaAccess           glue:UpdatePartition
               AWSQuicksightAthenaAccess              glue:GetPartition
               AWSQuicksightAthenaAccess             glue:GetPartitions
               AWSQuicksightAthenaAccess         glue:BatchGetPartition
               AWSQuicksightAthenaAccess           s3:GetBucketLocation
               AWSQuicksightAthenaAccess                   s3:GetObject
               AWSQuicksightAthenaAccess                  s3:ListBucket
               AWSQuicksightAthenaAccess  s3:ListBucketMultipartUploads
               AWSQuicksightAthenaAccess    s3:ListMultipartUploadParts
               AWSQuicksightAthenaAccess        s3:AbortMultipartUpload
               AWSQuicksightAthenaAccess                s3:CreateBucket
               AWSQuicksightAthenaAccess                   s3:PutObject

                  AWSCodeCommitPowerUser           codecommit:BatchGet*
                  AWSCodeCommitPowerUser                codecommit:Get*
                  AWSCodeCommitPowerUser               codecommit:List*
                  AWSCodeCommitPowerUser             codecommit:Create*
                  AWSCodeCommitPowerUser        codecommit:DeleteBranch
                  AWSCodeCommitPowerUser           codecommit:Describe*
                  AWSCodeCommitPowerUser                codecommit:Put*
                  AWSCodeCommitPowerUser               codecommit:Post*
                  AWSCodeCommitPowerUser              codecommit:Merge*
                  AWSCodeCommitPowerUser               codecommit:Test*
                  AWSCodeCommitPowerUser             codecommit:Update*
                  AWSCodeCommitPowerUser             codecommit:GitPull
                  AWSCodeCommitPowerUser             codecommit:GitPush
